Id Activity
PBCHM599243 0.237788
PBCHM732308 0.291066
PBCHM773628 0.845814
PBCHM976692 0.152208
PBCHM979894 0.585537
PBCHM1020151 0.193475
PBCHM1173610 0.810623
PBCHM1187911 0.173531
PBCHM1449846 0.484983
PBCHM1806781 0.151863
PBCHM1872795 0.366957
PBCHM1903572 0.491736
PBCHM1923580 0.910094
PBCHM1929069 0.265257
PBCHM1999877 0.893188
PBCHM2035507 0.220351
PBCHM2170217 0.631798
PBCHM2207598 0.571077
PBCHM2295347 0.332158
PBCHM3177205 0.104455
PBCHM3221785 0.502931
PBCHM3288362 0.567394
PBCHM3297992 0.854165
PBCHM3348718 0.0401409
PBCHM3517624 0.108022
PBCHM3765722 0.639396
PBCHM3849331 0.013111
PBCHM3894090 0.720184
PBCHM4044373 0.101814
PBCHM4412522 0.482945
PBCHM4533659 0.254355
PBCHM4573903 0.676697
PBCHM4575171 0.896782
PBCHM4656388 0.759896
PBCHM4722196 0.720292
PBCHM4863828 0.907623
PBCHM5168498 0.928611
PBCHM5170815 0.377663
PBCHM5191971 0.899756
PBCHM5228206 0.77888
PBCHM5326482 0.324255
PBCHM5894143 0.194231
PBCHM5904522 0.995553
PBCHM5923529 0.161296
PBCHM5949390 0.708034
PBCHM6090540 0.501519
PBCHM6184433 0.936301
PBCHM6265257 0.716323
PBCHM6478179 0.10519
PBCHM6543278 0.209205
PBCHM6567552 0.559397
PBCHM6605352 0.705432
PBCHM6707742 0.0782337
PBCHM6859393 0.51053
PBCHM6865374 0.196197
PBCHM6893200 0.274211
PBCHM7122781 0.638602
PBCHM7249985 0.448208
PBCHM7423859 0.0398718
PBCHM7447377 0.467251
PBCHM7525451 0.0777565
PBCHM7575357 0.0381004
PBCHM7682160 0.160044
PBCHM7776388 0.397832
PBCHM8209302 0.688898
PBCHM8492434 0.534712
PBCHM8495443 0.68692
PBCHM8667865 0.272457
PBCHM8776682 0.465933
PBCHM8792049 0.276555
PBCHM8816480 0.450086
PBCHM9192281 0.935069
PBCHM9227242 0.0869318
PBCHM9359931 0.453889
PBCHM9373427 0.945625
PBCHM9433092 0.855719
PBCHM9445057 0.120976
PBCHM9472778 0.0141639
PBCHM9616032 0.234515
PBCHM9643304 0.866313
PBCHM9671786 0.43739
PBCHM9860373 0.769548
PBCHM9883005 0.874003
PBCHM9910458 0.376934
PBCHM10010592 0.944328
PBCHM10072175 0.798493
PBCHM10184235 0.838634
PBCHM10194917 0.946656
PBCHM10247744 0.586052
PBCHM10296988 0.599163
PBCHM10426087 0.319347
PBCHM10475742 0.421162
PBCHM10507018 0.904107
PBCHM10552272 0.158462
PBCHM10668901 0.835159
PBCHM10687762 0.731942
PBCHM10794381 0.491837
PBCHM11064726 0.212129
PBCHM11138977 0.119752
PBCHM11351010 0.0483631
PBCHM11935222 0.426026
PBCHM11935419 0.325782
PBCHM12805493 0.104662
PBCHM13125669 0.428916
PBCHM14015944 0.623148
PBCHM14489540 0.6187
PBCHM14791643 0.779997
PBCHM14985668 0.488031
PBCHM15438026 0.98955
PBCHM15592301 0.925851
PBCHM15604929 0.642174
PBCHM15681772 0.747365
PBCHM15887453 0.956569
PBCHM15983826 0.515966
PBCHM16211617 0.221398
PBCHM16439047 0.299632
PBCHM16454219 0.810162
PBCHM16458290 0.00635903
PBCHM16565581 0.28057
PBCHM16577716 0.919172
PBCHM16600806 0.36738
PBCHM16632037 0.407252
PBCHM16721065 0.874503
PBCHM16741312 0.95226
PBCHM17034983 0.99036
PBCHM17415096 0.150404
PBCHM18084583 0.548236
PBCHM18194130 0.237134
PBCHM18264156 0.771846
PBCHM18440210 0.458766
PBCHM18573819 0.731223
PBCHM18584240 0.197155
PBCHM18783432 0.473711
PBCHM18809419 0.923797
PBCHM18858024 0.858866
PBCHM18929175 0.945798
PBCHM19030163 0.399686
PBCHM19083276 0.345312
PBCHM19233810 0.201031
PBCHM19238020 0.322008
PBCHM19241138 0.336171
PBCHM19262313 0.570686
PBCHM19273823 0.437
PBCHM19307446 0.87439
PBCHM19344304 0.643938
PBCHM19503553 0.517941
PBCHM19531885 0.894874
PBCHM19644018 0.839202
PBCHM19719402 0.637695
PBCHM19971754 0.476329
PBCHM20024782 0.422985
PBCHM20354160 0.00903642
PBCHM20461226 0.608199
PBCHM20595015 0.927547
PBCHM20688955 0.348708
PBCHM20735618 0.252815
PBCHM20869428 0.411277
PBCHM20878077 0.246436
PBCHM20883122 0.978378
PBCHM21010567 0.470215
PBCHM21025232 0.682345
PBCHM21127617 0.802097
PBCHM21316729 0.85046
PBCHM21359170 0.276486
PBCHM21547003 0.602268
PBCHM21595160 0.70693
PBCHM21846863 0.135846
PBCHM22045033 0.758994
PBCHM22265462 0.377694
PBCHM22310945 0.157691
PBCHM22317228 0.645722
PBCHM22359976 0.635273
PBCHM22408120 0.561124
PBCHM22469464 0.203298
PBCHM22660954 0.950663
PBCHM22784397 0.907232
PBCHM22895856 0.423198
PBCHM23350613 0.644596
PBCHM23507905 0.944228
PBCHM23515102 0.75439
PBCHM23552790 0.760749
PBCHM23588133 0.0413186
PBCHM23784237 0.960491
PBCHM23842474 0.327871
PBCHM23911895 0.735123
PBCHM24120938 0.609626
PBCHM24299527 0.561885
PBCHM24336286 0.552245
PBCHM24382402 0.70265
PBCHM24591197 0.250886
PBCHM24596346 0.488021
PBCHM24636921 0.259866
PBCHM24650537 0.718632
PBCHM24769908 0.449855
PBCHM25069661 0.64701
PBCHM25108297 0.120721
PBCHM25213419 0.0445171
PBCHM25316235 0.903383
PBCHM25457764 0.84918
PBCHM25495544 0.248867
PBCHM25864803 0.594179
PBCHM27034894 0.79521
PBCHM27440038 0.117217
PBCHM27778718 0.453389
PBCHM27831473 0.0240753
PBCHM28083011 0.461075
PBCHM28130395 0.335465
PBCHM28188096 0.979403
PBCHM28641481 0.497344
PBCHM29090963 0.392218
PBCHM29397576 0.23142
PBCHM29404215 0.869115
PBCHM29459029 0.345444
PBCHM30154008 0.768428
PBCHM30505063 0.777465
PBCHM30547914 0.385664
PBCHM30574584 0.313211
PBCHM30805260 0.661919
PBCHM31393281 0.914734
PBCHM33079791 0.326011
PBCHM35282270 0.572447
PBCHM36943137 0.550825
PBCHM36952607 0.0210396
PBCHM37202161 0.703384
PBCHM37438280 0.505481
PBCHM38144857 0.355941
PBCHM39219848 0.632427
PBCHM39599455 0.234695
PBCHM40236400 0.941625
PBCHM40406505 0.0774716
PBCHM40468966 0.836466
PBCHM40601465 0.21416
PBCHM41141318 0.371851
PBCHM41174180 0.0175735
PBCHM42304145 0.652846
PBCHM42459220 0.21397
PBCHM42677996 0.417268
PBCHM42965027 0.367931
PBCHM43192285 0.275164
PBCHM43459110 0.698362
PBCHM43854298 0.342959
PBCHM43918410 0.287187
PBCHM43951103 0.0415765
PBCHM43991107 0.802325
PBCHM44140501 0.843644
PBCHM44207380 0.804135
PBCHM44500680 0.132005
PBCHM44525648 0.867128
PBCHM44550342 0.476754
PBCHM44935213 0.0386389
PBCHM44936320 0.590884
PBCHM45044171 0.293534
PBCHM45092431 0.54442
PBCHM45230209 0.032441
PBCHM45499738 0.292307
PBCHM45778960 0.010939
PBCHM45867389 0.460794
PBCHM45959403 0.107803
PBCHM45977791 0.228524
PBCHM46327532 0.273041
PBCHM46345644 0.176424
PBCHM46383137 0.0256045
PBCHM46441542 0.274471
PBCHM46477381 0.86865
PBCHM46486258 0.66386
PBCHM46535163 0.781077
PBCHM46746794 0.234466
PBCHM46760548 0.258542
PBCHM46770284 0.719617
PBCHM46858352 0.0550814
PBCHM46862279 0.0344843
PBCHM46865464 0.531828
PBCHM46943512 0.924046
PBCHM47068868 0.155466
PBCHM47289241 0.0245813
PBCHM47406293 0.370025
PBCHM49767125 0.138454
PBCHM49779175 0.915918
PBCHM49802361 0.301583
PBCHM49816389 0.614793
PBCHM50217083 0.276712
PBCHM50347276 0.191446
PBCHM50376946 0.517457
PBCHM50413226 0.0899034
PBCHM50513162 0.640728
PBCHM50569162 0.661768
PBCHM50621401 0.365152
PBCHM50735304 0.870633
PBCHM50758192 0.226574
PBCHM50766977 0.859001
PBCHM50901687 0.0936968
PBCHM50986061 0.035322
PBCHM51048159 0.112794
PBCHM51361457 0.949259
PBCHM51619224 0.163419
PBCHM51622570 0.53527
PBCHM51710704 0.552844
PBCHM51958126 0.20569
PBCHM52573236 0.41966
PBCHM52676330 0.836928
PBCHM52911924 0.20486
PBCHM52917916 0.480023
PBCHM53064754 0.178386
PBCHM53103340 0.521344
PBCHM53586790 0.808531
PBCHM53629198 0.850107
PBCHM53676998 0.652433
PBCHM53710077 0.496077
PBCHM53737664 0.300211
PBCHM53950440 0.432217
PBCHM54272121 0.299345
PBCHM54515278 0.776098
PBCHM54617531 0.814737
PBCHM54657406 0.405621
PBCHM54783790 0.699155
PBCHM54847196 0.243576
PBCHM55219233 0.276017
PBCHM55239636 0.568324
PBCHM55327072 0.579263
PBCHM55350344 0.0400565
PBCHM55403980 0.14786
PBCHM55468318 0.376384
PBCHM55504295 0.649425
PBCHM55505549 0.825849
PBCHM55658071 0.851454
PBCHM55709334 0.125925
PBCHM55942800 0.994575
PBCHM56055332 0.658435
PBCHM56065607 0.439512
PBCHM56143720 0.673979
PBCHM56175080 0.93252
PBCHM56186507 0.652137
PBCHM56299713 0.707218
PBCHM56305794 0.741702
PBCHM56318069 0.27353
PBCHM56365400 0.197576
PBCHM56731536 0.353042
PBCHM56758511 0.377624
PBCHM56877066 0.747649
PBCHM56925147 0.886102
PBCHM56961450 0.802021
PBCHM57044300 0.103603
PBCHM57182456 0.718396
PBCHM57516494 0.995109
PBCHM58183075 0.186555
PBCHM58199333 0.704011
PBCHM58254334 0.793915
PBCHM58311703 0.434643
PBCHM58341855 0.0964105
PBCHM58374875 0.461562
PBCHM58377192 0.332195
PBCHM58507918 0.558769
PBCHM58617710 0.417771
PBCHM58692828 0.511468
PBCHM58780245 0.54679
PBCHM59080547 0.659583
PBCHM59107420 0.608842
PBCHM59107731 0.772261
PBCHM59123714 0.307531
PBCHM59161710 0.860375
PBCHM59167743 0.066065
PBCHM59268374 0.485725
PBCHM59452342 0.322654
PBCHM59505027 0.527513
PBCHM59598020 0.00753681
PBCHM59623348 0.185922
PBCHM59749205 0.707266
PBCHM59792334 0.515797
PBCHM59800247 0.365905
PBCHM59967250 0.0183374
PBCHM60197240 0.514414
PBCHM60260159 0.814625
PBCHM60335411 0.246842
PBCHM60559371 0.546186
PBCHM60679555 0.322285
PBCHM60703720 0.137021
PBCHM60712106 0.542643
PBCHM60858231 0.241798
PBCHM61015478 0.485374
PBCHM61117059 0.761391
PBCHM61252769 0.329714
PBCHM61374169 0.908977
PBCHM61530344 0.949034
PBCHM61734332 0.0968939
PBCHM61735926 0.473278
PBCHM61858862 0.122703
PBCHM62187561 0.948552
PBCHM62531645 0.800006
PBCHM62622708 0.925931
PBCHM62706041 0.920506
PBCHM62720242 0.578941
PBCHM62922474 0.0184528
PBCHM63013219 0.692431
PBCHM63020616 0.624952
PBCHM63149630 0.277088
PBCHM63189914 0.984306
PBCHM63275729 0.726009
PBCHM63278758 0.999539
PBCHM63424626 0.197115
PBCHM63802432 0.550158
PBCHM63903889 0.927781
PBCHM64024470 0.67543
PBCHM64046670 0.561532
PBCHM64311786 0.363553
PBCHM64314627 0.467156
PBCHM64554047 0.185553
PBCHM64555840 0.180661
PBCHM64702670 0.367216
PBCHM64719490 0.0712273
PBCHM64722715 0.865142
PBCHM64818512 0.299785
PBCHM64843348 0.396195
PBCHM64848871 0.857758
PBCHM65042058 0.189953
PBCHM65116747 0.748722
PBCHM65453441 0.166493
PBCHM65461507 0.677961
PBCHM65592802 0.22475
PBCHM65620634 0.884334
PBCHM65664813 0.493176
PBCHM65780818 0.265437
PBCHM65843319 0.572969
PBCHM65898049 0.433344
PBCHM65937843 0.499409
PBCHM66108935 0.985134
PBCHM66161076 0.307788
PBCHM66163077 0.835301
PBCHM66184588 0.842838
PBCHM66186139 0.0287602
PBCHM66189561 0.736027
PBCHM66192551 0.251824
PBCHM66225911 0.617729
PBCHM66313205 0.636066
PBCHM66332047 0.15048
PBCHM66468725 0.965105
PBCHM66554672 0.211947
PBCHM66633346 0.758134
PBCHM66771633 0.080418
PBCHM66816004 0.217439
PBCHM66857714 0.760082
PBCHM66895863 0.00188016
PBCHM66981027 0.487254
PBCHM67007028 0.248644
PBCHM67054422 0.578359
PBCHM67259012 0.487336
PBCHM67638407 0.43637
PBCHM67649930 0.533264
PBCHM67673781 0.00654204
PBCHM67851430 0.129245
PBCHM67872576 0.0777972
PBCHM67906404 0.877803
PBCHM67972810 0.803734
PBCHM67985649 0.724239
PBCHM68002875 0.30318
PBCHM68119112 0.321633
PBCHM68138178 0.0140639
PBCHM68198181 0.639015
PBCHM68323060 0.916104
PBCHM68404259 0.90041
PBCHM68429387 0.626419
PBCHM68518551 0.625958
PBCHM68549525 0.823073
PBCHM68739112 0.373231
PBCHM68803209 0.301012
PBCHM68894276 0.976442
PBCHM68964020 0.537974
PBCHM69010735 0.901527
PBCHM69074565 0.368683
PBCHM69214818 0.554236
PBCHM69379875 0.734897
PBCHM69398350 0.102113
PBCHM69471678 0.17334
PBCHM69575075 0.0384823
PBCHM69597227 0.338267
PBCHM69683502 0.734463
PBCHM69922218 0.59222
PBCHM70135533 0.782173
PBCHM70159229 0.530895
PBCHM70211477 0.697388
PBCHM70275822 0.375349
PBCHM70454962 0.600099
PBCHM70463252 0.484433
PBCHM70491400 0.977609
PBCHM70570173 0.243046
PBCHM70632843 0.816015
PBCHM70681893 0.249359
PBCHM71133788 0.748768
PBCHM71185784 0.733903
PBCHM71199248 0.0416902
PBCHM71219942 0.876991
PBCHM71245950 0.719829
PBCHM71391654 0.748589
PBCHM71395628 0.484616
PBCHM71511195 0.73644
PBCHM71777270 0.354168
PBCHM71873760 0.990234
PBCHM71921807 0.140714
PBCHM71972429 0.10582
PBCHM72533467 0.317767
PBCHM74002900 0.0759002
PBCHM74064103 0.156318
PBCHM75153837 0.373758
PBCHM75452311 0.13384
PBCHM76287521 0.13572
PBCHM76324765 0.622974
PBCHM76398221 0.871618
PBCHM76902296 0.449977
PBCHM77063616 0.937314
PBCHM77461006 0.373684
PBCHM78034995 0.906948
PBCHM78581062 0.91349
PBCHM78819459 0.0427351
PBCHM78836403 0.120532
PBCHM78856738 0.998335
PBCHM78881132 0.802069
PBCHM79012808 0.526308
PBCHM79074297 0.829488
PBCHM79126448 0.15112
PBCHM79178833 0.165184
PBCHM79197191 0.8042
PBCHM79226799 0.720303
PBCHM79309777 0.620713
PBCHM79368085 0.247132
PBCHM79606819 0.87309
PBCHM79686455 0.696163
PBCHM79758748 0.0693941
PBCHM79817836 0.370406
PBCHM79921558 0.346848
PBCHM79967347 0.884823
PBCHM79989315 0.78635
PBCHM80193574 0.155033
PBCHM80196769 0.709269
PBCHM80631305 0.444166
PBCHM80834681 0.546278
PBCHM81206414 0.719619
PBCHM81674035 0.758101
PBCHM81767250 0.0963681
PBCHM82020064 0.830831
PBCHM82272714 0.423051
PBCHM82277279 0.205224
PBCHM82426624 0.736119
PBCHM82514426 0.433507
PBCHM82691064 0.808856
PBCHM82748979 0.408955
PBCHM83427511 0.893388
PBCHM83529378 0.870997
PBCHM83793329 0.114043
PBCHM83856105 0.930059
PBCHM83997703 0.179418
PBCHM84055192 0.928186
PBCHM84090268 0.662089
PBCHM84094364 0.703779
PBCHM84286999 0.58077
PBCHM84289803 0.300599
PBCHM84396538 0.049188
PBCHM84412960 0.533804
PBCHM84533219 0.270243
PBCHM85874468 0.624412
PBCHM86153584 0.614646
PBCHM86239162 0.755361
PBCHM86244244 0.86118
PBCHM86325772 0.178947
PBCHM86627196 0.254847
PBCHM86634091 0.411165
PBCHM86656223 0.784923
PBCHM86677097 0.918763
PBCHM86817894 0.0544826
PBCHM86963116 0.677457
PBCHM87083519 0.549075
PBCHM87175588 0.999052
PBCHM87417496 0.936366
PBCHM87530099 0.31005
PBCHM87590409 0.216998
PBCHM87626137 0.130488
PBCHM87633652 0.173223
PBCHM88097887 0.293755
PBCHM88176075 0.292091
PBCHM88186296 0.0941593
PBCHM88312803 0.620467
PBCHM88333044 0.449955
PBCHM88522828 0.601075
PBCHM88558493 0.76626
PBCHM88578181 0.570459
PBCHM88684082 0.290762
PBCHM88832741 0.911476
PBCHM89061248 0.158607
PBCHM89089755 0.0316973
PBCHM89253247 0.72786
PBCHM89332882 0.797255
PBCHM89722213 0.167661
PBCHM89740259 0.514509
PBCHM89878280 0.399332
PBCHM90040067 0.185682
PBCHM90113328 0.340714
PBCHM90126467 0.049983
PBCHM90296863 0.494148
PBCHM90420576 0.0404269
PBCHM90442881 0.760046
PBCHM90533329 0.518146
PBCHM90660043 0.614515
PBCHM90725979 0.445345
PBCHM90816083 0.868396
PBCHM90875883 0.07362
PBCHM90951154 0.809739
PBCHM91078403 0.243246
PBCHM91098079 0.0521023
PBCHM91371336 0.461058
PBCHM91555730 0.354446
PBCHM91570787 0.225443
PBCHM91591531 0.339486
PBCHM91603250 0.269544
PBCHM91719921 0.448962
PBCHM91801009 0.377149
PBCHM91818129 0.0392373
PBCHM91906975 0.743016
PBCHM91953209 0.323786
PBCHM92091451 0.624385
PBCHM92239177 0.673573
PBCHM92443540 0.207377
PBCHM92519494 0.47762
PBCHM92580204 0.102032
PBCHM92629247 0.716678
PBCHM92638134 0.472039
PBCHM92732374 0.333219
PBCHM92881614 0.512166
PBCHM92900538 0.767013
