# Parameters from Wildman & Crippen, JCICS 1999, 39, 868-873

# Speical stuff for zwitterions
[OH]-[CD3](=O).[NH2T0]-[CG0] -2.5 ISO=188 CONF=40  NOMARK
[OH]-[CD3](=O).[NHT0](-[CG0])-[CG0] -2.5 ISO=188 CONF=40 NOMARK

# from the paper

[CH4] 0.1441 ISO=1
[CH3]-C 0.1441 ISO=1
[CH2](-C)-C 0.1441 ISO=1

[CH1D4T0](-C)(-C)(-C) 0.000 ISO=2
[CH0D4T0](-C)(-C)(-C)-C 0.000 ISO=2

[CH2X4]-a -0.0516 ISO=10
[CHX4]-a 0.1193 ISO=11
[CH0X4]-a -0.0967 ISO=12

[CH3]-[N,O,P,S,F,Cl,Br,I] -0.2035 ISO=3
[CH2X4]-[N,O,P,S,F,Cl,Br,I] -0.2035 ISO=3

[CH1X4]-[N,O,P,S,F,Cl,Br,I] -0.2051 ISO=4
[CH0X4]-[N,O,P,S,F,Cl,Br,I] -0.2051 ISO=4

C=[!#6;!#1] -0.2783 ISO=5

[CH2]=C 0.1551 ISO=6
[CH1D3]=C 0.1551 ISO=6
[CH0D3]=C 0.1551 ISO=6
[CD2](=C)=C 0.1551 ISO=6

[CX2]#*  0.00170 ISO=7

[CH3]-c 0.08452 ISO=8

[CH3]-[!#6;!#1;a] -0.1444 ISO=9

[cH0]-[#5] -0.5443 ISO=13   Boron
[cH0]-[#14] -0.5443 ISO=13  Silicon
[cH0]-[#15] -0.5443 ISO=13  Phosphorus
[cH0]-[#33] -0.5443 ISO=13  Arsenic
[cH0]-[#34] -0.5443 ISO=13  Selenium
# Tin too rare [cH0]-[#50] -0.5443 ISO=13
# mercury too rare [cH0]-[#80] -0.5443 ISO=13

c-F 0.0000 ISO=14
c-Cl 0.2450 ISO=15
c-Br 0.1980 ISO=16
c-I 0.0000 ISO=17

[cH] 0.1581 ISO=18

[cD3](:a)(:a):a 0.2955 ISO=19

c(:a)(:a)-a 0.2713 ISO=20
c(:a)(:a)-C 0.1360 ISO=21
c(:a)(:a)-N 0.4619 ISO=22
c(:a)(:a)-O 0.5437 ISO=23
c(:a)(:a)-S 0.1893 ISO=24

c(:a)(:a)=C -0.8186 ISO=25
c(:a)(:a)=N -0.8186 ISO=25
c(:a)(:a)=O -0.8186 ISO=25

# Sulphur was not in the original paper, but logpstar has plenty of examples

